latitude,longitude,acq_datetime,frp,satellite,confidence,daynight,source,weight
32.5979,-82.5034,2026-07-31T06:46:00Z,0.26,N,n,N,VIIRS_SNPP_NRT,1
32.8419,-83.2738,2026-07-31T06:46:00Z,1.6,N,n,N,VIIRS_SNPP_NRT,1
32.3826,-82.5835,2026-07-31T06:46:00Z,0.55,N,n,N,VIIRS_SNPP_NRT,1
33.0027,-79.8793,2026-07-31T06:46:00Z,1.97,N,n,N,VIIRS_SNPP_NRT,1
33.0934,-82.7489,2026-07-31T06:46:00Z,1.09,N,n,N,VIIRS_SNPP_NRT,1
33.5644,-82.5117,2026-07-31T06:46:00Z,0.85,N,n,N,VIIRS_SNPP_NRT,1
33.0031,-79.8804,2026-07-31T06:46:00Z,1.73,N,n,N,VIIRS_SNPP_NRT,1
33.2188,-86.8189,2026-07-31T06:46:00Z,1.71,N,n,N,VIIRS_SNPP_NRT,1
33.1783,-84.6084,2026-07-31T06:46:00Z,1.16,N,n,N,VIIRS_SNPP_NRT,1
33.2356,-87.5091,2026-07-31T06:46:00Z,0.99,N,n,N,VIIRS_SNPP_NRT,1
33.0128,-79.8892,2026-07-31T06:46:00Z,2.05,N,n,N,VIIRS_SNPP_NRT,1
33.0127,-79.8847,2026-07-31T06:46:00Z,1.87,N,n,N,VIIRS_SNPP_NRT,1
33.0124,-79.8836,2026-07-31T06:46:00Z,2.05,N,n,N,VIIRS_SNPP_NRT,1
33.0082,-79.8853,2026-07-31T06:46:00Z,1.87,N,n,N,VIIRS_SNPP_NRT,1
34.9363,-79.9599,2026-07-31T06:45:00Z,0.96,N,n,N,VIIRS_SNPP_NRT,1
34.151,-79.5612,2026-07-31T06:45:00Z,1.44,N,n,N,VIIRS_SNPP_NRT,1
34.2785,-77.9884,2026-07-31T06:45:00Z,1.16,N,n,N,VIIRS_SNPP_NRT,1
34.2827,-77.9877,2026-07-31T06:45:00Z,1.36,N,n,N,VIIRS_SNPP_NRT,1
34.6394,-87.0835,2026-07-31T06:45:00Z,2.27,N,n,N,VIIRS_SNPP_NRT,1
34.6396,-87.0913,2026-07-31T06:45:00Z,3.27,N,n,N,VIIRS_SNPP_NRT,1
34.8656,-81.9238,2026-07-31T06:45:00Z,0.53,N,n,N,VIIRS_SNPP_NRT,1
34.8664,-81.9223,2026-07-31T06:45:00Z,0.33,N,n,N,VIIRS_SNPP_NRT,1
34.9349,-79.9605,2026-07-31T06:45:00Z,1.36,N,n,N,VIIRS_SNPP_NRT,1
37.2329,-82.0421,2026-07-31T06:45:00Z,1.49,N,n,N,VIIRS_SNPP_NRT,1
35.3539,-85.2489,2026-07-31T06:45:00Z,0.42,N,n,N,VIIRS_SNPP_NRT,1
35.3552,-85.247,2026-07-31T06:45:00Z,0.44,N,n,N,VIIRS_SNPP_NRT,1
35.5045,-80.3324,2026-07-31T06:45:00Z,1.0,N,n,N,VIIRS_SNPP_NRT,1
35.5548,-79.777,2026-07-31T06:45:00Z,0.72,N,n,N,VIIRS_SNPP_NRT,1
35.7212,-79.5261,2026-07-31T06:45:00Z,1.58,N,n,N,VIIRS_SNPP_NRT,1
35.9808,-83.9583,2026-07-31T06:45:00Z,0.71,N,n,N,VIIRS_SNPP_NRT,1
36.3441,-80.5949,2026-07-31T06:45:00Z,0.73,N,n,N,VIIRS_SNPP_NRT,1
36.3559,-76.8081,2026-07-31T06:45:00Z,8.21,N,n,N,VIIRS_SNPP_NRT,1
